"logger:app-info=> date:[Fri Aug 12 2022 00:01:24 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/me 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:03:48 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:03:48 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:03:48 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:04:01 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:04:01 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:04:01 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:04:06 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[POST] /users/login 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:04:07 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[encrypting data:[michelle@example.com] into a JWT token at 2022-08-11T23:04:07.003Z] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:04:32 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/all 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:04:43 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[DELETE] /users/6262f628499ea340345d9043 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:07:52 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:07:52 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:07:52 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:08:08 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[🧧 Running application from file:///Users/kudiadmin/Desktop/personal/deno-paystack/mod.ts ...] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:08:08 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Connected database to [mongodb://127.0.0.1:27017/secrets]] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:08:08 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[Server ⛳ listening on port 5000] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:08:16 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[POST] /users/login 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:08:16 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[encrypting data:[michelle@example.com] into a JWT token at 2022-08-11T23:08:16.132Z] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:08:45 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[DELETE] /users/with-admin-right/6262f628499ea340345d9043 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:08:59 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/all 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:10:16 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[DELETE] /users/with-admin-right/6262f628499ea340345d9043 200\"] | meta: [[]] "
"logger:app-info=> date:[Fri Aug 12 2022 00:10:56 GMT+0100 (West Africa Standard Time)] | level:[20] | msg:[\"[GET] /users/all 200\"] | meta: [[]] "
